entry_index,entry_price,sold_price,profit_loss,invested_dollars,shares
109,150.4843,137.5625,-858.6809388088986,10000.0,66.45211493823608
403,128.19,122.61,-435.29136438099704,10000.0,78.00920508620017
533,114.3,115.75,126.85914260717436,10000.0,87.48906386701663
615,112.96,109.18,-334.6317280453259,10000.0,88.52691218130312
774,94.13,82.35,-1251.4607457771162,10000.0,106.23605651758207
878,93.21,112.15,2031.970818581698,10000.0,107.284626113078
1182,110.24,110.2,-3.628447024671914,10000.0,90.711175616836
1239,113.45,114.15,61.70118995152188,10000.0,88.14455707360071
1417,121.57,118.67,-238.54569383893977,10000.0,82.25713580653122
1534,126.08,123.5,-204.63197969543216,10000.0,79.31472081218274
1720,131.67,147.27,1184.780132148555,10000.0,75.947444368497
1879,149.48,144.64,-323.78913567032396,10000.0,66.89858175006691
1999,155.01,152.08,-189.02006322172565,10000.0,64.51196696987292
2145,140.77,127.24,-961.142288839952,10000.0,71.03786318107551
2392,90.86,112.0,2326.6563944530044,10000.0,110.0594320933304
2737,114.21,126.81,1103.2308904649344,10000.0,87.5580071797566
3039,120.05,128.1,670.5539358600581,10000.0,83.29862557267805
3216,140.77,141.5,51.85764012218351,10000.0,71.03786318107551
3321,147.07,196.16,3337.866322159518,10000.0,67.99483239273816
3790,207.26,210.82,171.76493293447857,10000.0,48.24857666698833
4040,209.31,187.64,-1035.3064832067266,10000.0,47.77602599015814
4134,204.5,209.74,256.2347188264066,10000.0,48.899755501222494
4305,226.51,265.64,1727.5175488940895,10000.0,44.14816122908481
4683,278.03,281.01,107.1826781282598,10000.0,35.96734165377837
4862,280.42,252.8,-984.9511447115037,10000.0,35.66079452250196
5186,304.21,434.23,4274.021235330858,10000.0,32.87202919036192
5745,395.18,362.79,-819.6264993167661,10000.0,25.30492433827623
5823,386.23,434.54,1250.8091033839937,10000.0,25.89130828780778
